"species_en","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2021","2022","2023","mean"
"American ermine",59,46,8,33,33,8,39,21,111,59,8,49,8,8,59,59,30,78,156,40,8,8,8,104,31,8,8,NA,NA,NA,NA
"Nearctic brown lemming",NA,NA,2026,100080,14225,26590,2640,137110,9441,2026,2026,68378,3276,4336,4373,44827,2259,95615,154805,1194,724,153753,88772,63865,6176,800,24844,447630,787,NA,NA
"Nearctic collared lemming",NA,NA,2026,9982,2026,24063,2026,16327,8350,2372,2026,12527,4089,13817,1295,6026,724,39302,724,1377,1377,16924,11440,33439,818,724,4686,4402,1364,NA,NA
"Snowy owl",NA,NA,NA,38,0,0,0,65,0,0,0,58,0,0,0,31,0,38,0,0,0,144,0,6,0,0,18,NA,0,0,NA
"Snow goose",NA,NA,NA,NA,NA,NA,8175,15412,35404,25715,33532,2505,12773,7402,10778,21523,26199,12313,26518,24424,47859,41482,35507,38863,31147,27001,42535,NA,7982,33626,NA
"Cackling goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,22,8,22,22,22,22,29,51,66,73,87,80,122,152,NA,120,214,NA
"Glaucous gull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,68,73,77,77,74,76,80,76,59,76,77,76,76,80,68,NA,60,NA,NA
"Long-tailed jaeger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,158,68,293,900,0,743,585,0,0,495,383,428,0,0,293,NA,0,NA,NA
"Rough-legged hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,7,59,35,21,0,62,40,60,8,2,66,NA,6,NA,NA
"Peregrine falcon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,8,10,10,10,12,NA,10,NA,NA
"American golden-plover",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1725,1220,1211,1193,548,397,NA,1379,1146,NA
"Common-ringed plover",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,62,44,NA,NA,NA,NA,NA,NA
"Pacific loon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,NA,4,NA,NA
"Red-throated loon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,76,70,NA,66,NA,NA
"Tundra swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,0,NA,NA
"American pipit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
"Arctic fox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
"Arctic hare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Baird's sandpiper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2170
