"species_en","year","zone","area_sampled_km2","habitat","method","monitoring","breeding_status","ind_density_km2"
"American golden-plover","2010","camp 2"," 11.10","mixed","distance sampling","systematic","breeding","   8.410"
"American golden-plover","2011","camp 2"," 10.35","mixed","distance sampling","systematic","breeding","   5.098"
"American golden-plover","2012","camp 2","  8.85","mixed","distance sampling","systematic","breeding","   9.631"
"American golden-plover","2013","camp 2"," 11.55","mixed","distance sampling","systematic","breeding","   7.907"
"American golden-plover","2014","camp 2"," 11.70","mixed","distance sampling","systematic","breeding","   3.642"
"American golden-plover","2015","camp 2","  7.35","mixed","distance sampling","systematic","breeding","   0.552"
"American golden-plover","2016","camp 2","  5.40","mixed","distance sampling","systematic","breeding","   1.879"
"American golden-plover","2017","camp 2","  4.80","mixed","distance sampling","systematic","breeding","   4.228"
"American golden-plover","2018","camp 2","  6.00","mixed","distance sampling","systematic","breeding","   0.338"
"American golden-plover","2019","camp 2"," 11.40","mixed","distance sampling","systematic","breeding","   0.712"
"American golden-plover","2022","camp 2"," 12.00","mixed","distance sampling","systematic","breeding","   1.691"
"American golden-plover","2023","camp 2"," 11.55","mixed","distance sampling","systematic","breeding","   2.460"
"American golden-plover","2011","camp 3","  8.55","mixed","distance sampling","systematic","breeding","  15.903"
"American golden-plover","2012","camp 3","  7.65","mixed","distance sampling","systematic","breeding","   9.550"
"American golden-plover","2013","camp 3","  8.55","mixed","distance sampling","systematic","breeding","   9.732"
"American golden-plover","2014","camp 3","  8.10","mixed","distance sampling","systematic","breeding","   9.521"
"American golden-plover","2015","camp 3","  8.10","mixed","distance sampling","systematic","breeding","   7.266"
"American golden-plover","2016","camp 3","  7.65","mixed","distance sampling","systematic","breeding","   6.632"
"American golden-plover","2017","camp 3","  7.80","mixed","distance sampling","systematic","breeding","   3.642"
"American golden-plover","2018","camp 3","  6.30","mixed","distance sampling","systematic","breeding","   6.442"
"American golden-plover","2019","camp 3","  8.10","mixed","distance sampling","systematic","breeding","   2.756"
"American golden-plover","2022","camp 3","  8.10","mixed","distance sampling","systematic","breeding","  10.022"
"American golden-plover","2023","camp 3","  8.55","mixed","distance sampling","systematic","breeding","   6.883"
"American golden-plover","2010","dufour","  4.50","mixed","distance sampling","systematic","breeding","  30.215"
"American golden-plover","2011","dufour","  3.60","mixed","distance sampling","systematic","breeding","  29.313"
"American golden-plover","2012","dufour","  4.80","mixed","distance sampling","systematic","breeding","  34.246"
"American golden-plover","2013","dufour","  5.25","mixed","distance sampling","systematic","breeding","  15.075"
"American golden-plover","2014","dufour","  5.25","mixed","distance sampling","systematic","breeding","  10.823"
"American golden-plover","2015","dufour","  4.95","mixed","distance sampling","systematic","breeding","   9.019"
"American golden-plover","2016","dufour","  4.80","mixed","distance sampling","systematic","breeding","   5.496"
"American golden-plover","2017","dufour","  4.80","mixed","distance sampling","systematic","breeding","   3.382"
"American golden-plover","2018","dufour","  4.95","mixed","distance sampling","systematic","breeding","   3.280"
"American golden-plover","2019","dufour","  4.35","mixed","distance sampling","systematic","breeding","   2.333"
"American golden-plover","2022","dufour","  5.25","mixed","distance sampling","systematic","breeding","  10.437"
