Den_ID	Year	Status	Species	Litter_ID	Comments
FOX001	1993	N	Arctic fox	1993_AF01	
FOX002	1993	NR			
FOX009	1993	NR			
FOX001	1994	NR			
FOX002	1994	NR			
FOX003	1994	NR			
FOX004	1994	NR			
FOX005	1994	NR			
FOX006	1994	NR			
FOX007	1994	NR			
FOX008	1994	NR			
FOX009	1994	NR			
FOX010	1994	NR			
FOX101	1994	NR			
FOX001	1995	NR			
FOX002	1995	NR			
FOX003	1995	NR			
FOX004	1995	NR			
FOX005	1995	NR			
FOX006	1995	NR			
FOX007	1995	NR			
FOX008	1995	NR			
FOX009	1995	NM			
FOX010	1995	NM			
FOX013	1995	NR			
FOX014	1995	NR			
FOX015	1995	NR			
FOX101	1995	NM			
FOX001	1996	NR			
FOX002	1996	NR			
FOX003	1996	NR			
FOX004	1996	NR			
FOX005	1996	NR			
FOX006	1996	NM			
FOX007	1996	NR			
FOX008	1996	NR			
FOX009	1996	NM			
FOX010	1996	N	Arctic fox	1996_AF01	
FOX013	1996	NR			
FOX014	1996	NR			
FOX015	1996	NR			
FOX016	1996	NR			
FOX018	1996	NR			
FOX019	1996	NR			
FOX023	1996	N	Red fox	1996_RF01	
FOX101	1996	N	Arctic fox	1996_AF02	
FOX103	1996	N	Arctic fox	1996_AF03	
FOX105	1996	NR			
FOX001	1997	N	Arctic fox	1997_AF01	
FOX002	1997	NR			
FOX003	1997	NR			
FOX004	1997	NR			
FOX005	1997	N	Arctic fox	1997_AF02	
FOX006	1997	NR			
FOX007	1997	NR			
FOX008	1997	NR			
FOX009	1997	NR			
FOX010	1997	R	Arctic fox	1997_AF01	
FOX013	1997	NR			
FOX014	1997	NR			
FOX015	1997	NR			
FOX016	1997	NR			
FOX018	1997	NR			
FOX019	1997	NR			
FOX020	1997	R	Arctic fox	1997_AF02	
FOX023	1997	NM			
FOX101	1997	R	Arctic fox	1997_AF03	
FOX102	1997	NR			
FOX103	1997	NR			
FOX104	1997	NR			
FOX105	1997	N	Arctic fox	1997_AF03	
FOX106	1997	NR			
FOX107	1997	NR			
FOX001	1998	N	Arctic fox	1998_AF01	
FOX002	1998	NR			
FOX003	1998	NR			
FOX004	1998	NR			
FOX005	1998	N	Arctic fox	1998_AF03	
FOX006	1998	NR			
FOX007	1998	NR			
FOX008	1998	NR			
FOX009	1998	NR			
FOX010	1998	R	Arctic fox	1998_AF01	
FOX013	1998	NR			
FOX014	1998	NR			
FOX015	1998	NR			
FOX016	1998	NR			
FOX018	1998	N	Arctic fox	1998_AF02	
FOX019	1998	NR			
FOX020	1998	R	Arctic fox	1998_AF03	
FOX021	1998	NR			
FOX022	1998	NR			
FOX023	1998	N	Red fox	1998_RF01	
FOX101	1998	R	Arctic fox	1998_AF04	
FOX102	1998	NR			
FOX103	1998	NR			
FOX104	1998	N	Arctic fox	1998_AF05	
FOX105	1998	N	Arctic fox	1998_AF04	
FOX106	1998	N	Arctic fox	1998_AF06	
FOX107	1998	NR			
FOX108	1998	NR			
FOX109	1998	NR			
FOX110	1998	NR			
FOX111	1998	N	Arctic fox	1998_AF07	
FOX112	1998	N	Arctic fox	1998_AF08	
FOX001	1999	NR			
FOX002	1999	NR			
FOX003	1999	NR			
FOX004	1999	NR			
FOX005	1999	NR			
FOX006	1999	NR			
FOX007	1999	NR			
FOX008	1999	NR			
FOX009	1999	NR			
FOX010	1999	NR			
FOX013	1999	NR			
FOX014	1999	NR			
FOX015	1999	NR			
FOX016	1999	NR			
FOX018	1999	NR			
FOX019	1999	NR			
FOX020	1999	NR			
FOX021	1999	NR			
FOX022	1999	NR			
FOX023	1999	N	Red fox	1999_RF01	
FOX101	1999	NR			
FOX102	1999	NR			
FOX103	1999	NR			
FOX104	1999	NR			
FOX105	1999	NR			
FOX106	1999	NR			
FOX107	1999	NR			
FOX108	1999	N	Arctic fox	1999_AF01	
FOX109	1999	NR			
FOX110	1999	NR			
FOX111	1999	N	Arctic fox	1999_AF02	
FOX112	1999	NR			
FOX113	1999	NR			
FOX114	1999	NR			
FOX115	1999	NR			
FOX116	1999	NR			
FOX001	2000	N	Arctic fox	2000_AF01	
FOX002	2000	NR			
FOX003	2000	NR			
FOX004	2000	NR			
FOX005	2000	NR			
FOX006	2000	NR			
FOX007	2000	NR			
FOX008	2000	NR			
FOX009	2000	R	Arctic fox	2000_AF01	
FOX010	2000	NR			
FOX013	2000	NR			
FOX014	2000	NR			
FOX015	2000	NR			
FOX016	2000	N	Arctic fox	2000_AF02	
FOX018	2000	N	Arctic fox	2000_AF03	
FOX019	2000	NR			
FOX020	2000	N	Arctic fox	2000_AF04	
FOX021	2000	NR			
FOX022	2000	NR			
FOX023	2000	N	Red fox	2000_RF01	
FOX024	2000	NR			
FOX025	2000	NR			
FOX026	2000	N	Arctic fox	2000_AF05	
FOX101	2000	N	Arctic fox	2000_AF06	
FOX102	2000	NR			
FOX103	2000	NR			
FOX104	2000	NR			
FOX105	2000	NR			
FOX106	2000	NR			
FOX107	2000	NR			
FOX108	2000	NR			
FOX109	2000	NR			
FOX110	2000	NR			
FOX111	2000	NR			
FOX112	2000	NR			
FOX113	2000	NR			
FOX114	2000	NR			
FOX115	2000	NR			
FOX116	2000	NR			
FOX117	2000	NR			
FOX001	2001	NR			
FOX002	2001	NR			
FOX003	2001	NR			
FOX004	2001	NR			
FOX005	2001	NR			
FOX006	2001	NR			
FOX007	2001	NR			
FOX008	2001	NR			
FOX009	2001	NR			
FOX010	2001	NR			
FOX013	2001	NR			
FOX014	2001	NR			
FOX015	2001	NR			
FOX016	2001	N	Arctic fox	2001_AF01	
FOX018	2001	NR			
FOX019	2001	NR			
FOX020	2001	NR			
FOX021	2001	NR			
FOX022	2001	NR			
FOX023	2001	N	Red fox	2001_RF01	
FOX024	2001	NR			
FOX025	2001	NR			
FOX026	2001	NR			
FOX027	2001	NR			
FOX028	2001	NR			
FOX029	2001	NR			
FOX031	2001	NR			
FOX101	2001	N	Arctic fox	2001_AF02	
FOX102	2001	NR			
FOX103	2001	NR			
FOX104	2001	NR			
FOX105	2001	NR			
FOX106	2001	NR			
FOX107	2001	N	Arctic fox	2001_AF03	
FOX108	2001	N	Arctic fox	2001_AF04	
FOX109	2001	N	Arctic fox	2001_AF05	
FOX110	2001	NR			
FOX111	2001	NR			
FOX112	2001	N	Arctic fox	2001_AF06	
FOX113	2001	NR			
FOX114	2001	NR			
FOX115	2001	NR			
FOX116	2001	NR			
FOX117	2001	NR			
FOX305	2001	NR			
FOX307	2001	NR			
FOX309	2001	NR			
FOX001	2002	NR			
FOX002	2002	NR			
FOX003	2002	NR			
FOX004	2002	NR			
FOX005	2002	NR			
FOX006	2002	NR			
FOX007	2002	NR			
FOX008	2002	NR			
FOX009	2002	NR			
FOX010	2002	NR			
FOX013	2002	C			
FOX014	2002	NR			
FOX015	2002	NR			
FOX016	2002	NR			
FOX018	2002	NR			
FOX019	2002	NR			
FOX020	2002	NR			
FOX021	2002	NR			
FOX022	2002	NR			
FOX023	2002	NR			
FOX024	2002	NR			
FOX025	2002	NR			
FOX026	2002	NR			
FOX027	2002	NR			
FOX028	2002	NR			
FOX029	2002	NR			
FOX031	2002	NR			
FOX032	2002	NR			
FOX101	2002	NR			
FOX102	2002	NR			
FOX103	2002	C			
FOX104	2002	NR			
FOX105	2002	NR			
FOX106	2002	NR			
FOX107	2002	NR			
FOX108	2002	NR			
FOX109	2002	NR			
FOX110	2002	NR			
FOX111	2002	NR			
FOX112	2002	NR			
FOX113	2002	NR			
FOX114	2002	NR			
FOX115	2002	NR			
FOX116	2002	NR			
FOX117	2002	NR			
FOX120	2002	NR			
FOX121	2002	NR			
FOX122	2002	NR			
FOX305	2002	NR			
FOX307	2002	NR			
FOX309	2002	NR			
FOX001	2003	NR			
FOX002	2003	NR			
FOX003	2003	NR			
FOX004	2003	NR			
FOX005	2003	NR			
FOX006	2003	NR			
FOX007	2003	NR			
FOX008	2003	NR			
FOX009	2003	NR			
FOX010	2003	NR			
FOX014	2003	NR			
FOX015	2003	NR			
FOX016	2003	NR			
FOX018	2003	NR			
FOX019	2003	NR			
FOX020	2003	NR			
FOX021	2003	NR			
FOX022	2003	NR			
FOX023	2003	NR			
FOX024	2003	NR			
FOX025	2003	NR			
FOX026	2003	NR			
FOX027	2003	NR			
FOX028	2003	NR			
FOX029	2003	NR			
FOX031	2003	NR			
FOX032	2003	NR			
FOX034	2003	NR			
FOX101	2003	NR			
FOX102	2003	NR			
FOX104	2003	NR			
FOX105	2003	NR			
FOX106	2003	NR			
FOX107	2003	NR			
FOX108	2003	NR			
FOX109	2003	NR			
FOX110	2003	NR			
FOX111	2003	N	Arctic fox	2003_AF01	
FOX112	2003	NR			
FOX113	2003	R	Arctic fox	2003_AF01	
FOX114	2003	NR			
FOX115	2003	N	Arctic fox	2003_AF02	
FOX116	2003	NR			
FOX117	2003	NR			
FOX120	2003	NR			
FOX121	2003	NR			
FOX122	2003	NR			
FOX123	2003	R	Arctic fox	2003_AF02	
FOX124	2003	NR			
FOX125	2003	NR			
FOX126	2003	NR			
FOX127	2003	NR			
FOX128	2003	NR			
FOX131	2003	NR			
FOX132	2003	NR			
FOX133	2003	NR			
FOX134	2003	NR			
FOX135	2003	NR			
FOX137	2003	N	Arctic fox	2003_AF03	
FOX139	2003	NR			
FOX140	2003	NR			
FOX141	2003	NR			
FOX142	2003	NR			
FOX143	2003	NR			
FOX144	2003	NR			
FOX305	2003	NR			
FOX307	2003	NR			
FOX309	2003	NR			
FOX317	2003	NR			
FOX319	2003	NR			
FOX322	2003	NR			
FOX323	2003	NR			
FOX324	2003	NR			
FOX325	2003	NR			
FOX334	2003	NR			
FOX001	2004	NR			
FOX002	2004	NR			
FOX003	2004	NR			
FOX004	2004	NR			
FOX005	2004	NR			
FOX006	2004	NR			
FOX007	2004	NR			
FOX008	2004	NR			
FOX009	2004	NR			
FOX010	2004	N	Arctic fox	2004_AF01	
FOX014	2004	NR			
FOX015	2004	NR			
FOX016	2004	NR			
FOX018	2004	NR			
FOX019	2004	NR			
FOX020	2004	NR			
FOX021	2004	NR			
FOX022	2004	NR			
FOX023	2004	NR			
FOX024	2004	N	Red fox	2004_RF01	Adult female = red morph, male = silver morph. 4 grey cubs and 2 reddish. Family seems to have left the den between 14/06 and 15/06.
FOX025	2004	NR			
FOX026	2004	NR			
FOX027	2004	NR			
FOX028	2004	NR			
FOX029	2004	NR			
FOX031	2004	NR			
FOX032	2004	NR			
FOX034	2004	NR			
FOX101	2004	N	Arctic fox	2004_AF02	2 females at the den; both were seen nursing the cubs
FOX102	2004	NR			
FOX104	2004	N	Arctic fox	2004_AF03	
FOX105	2004	NR			
FOX106	2004	N	Arctic fox	2004_AF04	
FOX107	2004	NR			
FOX108	2004	N	Arctic fox	2004_AF05	
FOX109	2004	NR			
FOX110	2004	NR			
FOX111	2004	N	Arctic fox	2004_AF06	
FOX112	2004	N	Arctic fox	2004_AF07	
FOX113	2004	NR			
FOX114	2004	N	Arctic fox	2004_AF08	
FOX115	2004	N	Arctic fox	2004_AF09	
FOX116	2004	NR			
